unit_id,title,type,skill,inputs,outputs,acceptance,checkpoint,status,depends_on,owner
U0925,Define table schemas (index+appendix; evidence-first) [NO PROSE],EVIDENCE,table-schema,outline/outline.yml;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;GOAL.md,outline/table_schema.md,table_schema.md 定义 Index 表（I*）+ Appendix 表（A*）（总计>=4），并明确每列证据来源；无占位/无省略号,C4,TODO,U092,CODEX
U0926,Fill index tables from evidence packs (>=2; citations in rows) [NO PROSE],EVIDENCE,table-filler,outline/table_schema.md;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;citations/ref.bib,outline/tables_index.md,outline/tables_index.md 为内部索引表（>=2 Markdown 表；每行含 citations；无占位/无省略号；避免长段落单元格；允许用于 planning/debug，但不要直接粘贴进终稿）,C4,TODO,U0925;U093,CODEX
U0927,Curate reader-facing Appendix tables (>=2; publishable) [NO PROSE],EVIDENCE,appendix-table-writer,outline/table_schema.md;outline/tables_index.md;outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;citations/ref.bib,outline/tables_appendix.md;output/TABLES_APPENDIX_REPORT.md,outline/tables_appendix.md 为面向读者的可发表表格（>=2 Markdown 表；无 headings；每行含 citations；无占位/无省略号；避免轴/列表 dump；不得直接复制 tables_index）；TABLES_APPENDIX_REPORT.md 为 PASS,C4,TODO,U0926;U093,CODEX
U093,Build per-subsection anchor sheet (evidence → write hooks) [NO PROSE],EVIDENCE,anchor-sheet,outline/evidence_drafts.jsonl;citations/ref.bib,outline/anchor_sheet.jsonl,每个H3 anchors>=10（numbers/benchmarks/failures/protocol context 混合）且每条含 citations+pointers；无占位/无省略号,C4,TODO,U092,CODEX
U0935,Normalize schema across C3/C4 JSONL artifacts (NO PROSE),QA,schema-normalizer,outline/outline.yml;citations/ref.bib;outline/subsection_briefs.jsonl;outline/chapter_briefs.jsonl;outline/evidence_bindings.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl,output/SCHEMA_NORMALIZATION_REPORT.md,SCHEMA_NORMALIZATION_REPORT.md Status: PASS；关键 JSONL 记录补齐 section_id/section_title；citations 列表统一为 raw bibkey（无 @ 前缀）。,C4,TODO,U093,CODEX
U099,Build writer context packs (C4→C5 bridge) [NO PROSE],EVIDENCE,writer-context-pack,outline/outline.yml;outline/subsection_briefs.jsonl;outline/chapter_briefs.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib,outline/writer_context_packs.jsonl,每个H3 writer pack 达标：paragraph_plan=10；anchor_facts>=10；comparison_cards>=7；limitation_hooks>=3；allowed_bibkeys_mapped>=28；must_use 非空；无占位/无省略号,C4,TODO,U0935;U076,CODEX
U0995,Evidence self-loop TODO (prewrite routing),QA,evidence-selfloop,outline/subsection_briefs.jsonl;outline/evidence_bindings.jsonl;outline/evidence_drafts.jsonl;outline/anchor_sheet.jsonl,output/EVIDENCE_SELFLOOP_TODO.md,EVIDENCE_SELFLOOP_TODO.md 写出 Status + 每个缺口小节的最小上游修复路径（回到 C2/C3/C4 哪个 skill）；若存在 evidence_drafts.blocking_missing 则此 unit 必须 BLOCKED（先补证据再写作）,C4,TODO,U099,CODEX
U094,Rewrite claim-evidence matrix from evidence packs [NO PROSE],EVIDENCE,claim-matrix-rewriter,outline/subsection_briefs.jsonl;outline/evidence_drafts.jsonl;citations/ref.bib,outline/claim_evidence_matrix.md,矩阵以 evidence packs 为准：每小节含 `- Claim:` 且 `Evidence:`>=2；无占位/无模板句/无省略号,C4,TODO,U092,CODEX
U095,Write front matter (Abstract/Intro/Related/Discussion/Conclusion),WRITE,front-matter-writer,DECISIONS.md;outline/outline.yml;outline/mapping.tsv;papers/retrieval_report.md;papers/core_set.csv;queries.md;citations/ref.bib,sections/abstract.md;sections/S1.md;sections/S2.md;sections/discussion.md;sections/conclusion.md;output/FRONT_MATTER_REPORT.md,FRONT_MATTER_REPORT.md Status: PASS；sections/abstract.md + Introduction/Related Work 的 `sections/S<sec_id>.md`（body-only）+ sections/discussion.md + sections/conclusion.md 均存在且无占位符；Intro unique cites>=35（>=8 段实质段落）；Related Work unique cites>=50（>=10 段实质段落）；Related Work 采用第三方学术口吻（避免“当前/this survey”“overview narration”“benchmarkxx”占位式指代）；methodology note（time window + candidate pool + core set + evidence_mode）在 Intro 或 Related 中出现且只出现一次；无 pipeline 术语泄漏,C5,TODO,U0995,CODEX
U096,Write H2 chapter leads (coherence bridge),WRITE,chapter-lead-writer,outline/outline.yml;outline/chapter_briefs.jsonl;outline/writer_context_packs.jsonl;citations/ref.bib,output/CHAPTER_LEADS_REPORT.md,CHAPTER_LEADS_REPORT.md Status: PASS；每个含H3的H2都有 `sections/S<sec_id>_lead.md`（body-only，无 headings），2–3段且引用嵌入（>=2 cites）；无 slash-list 轴标签/无占位符,C5,TODO,U0995,CODEX
U100,Write H3 subsection bodies (argument moves; body-only),WRITE,subsection-writer,outline/outline.yml;outline/chapter_briefs.jsonl;outline/subsection_briefs.jsonl;outline/anchor_sheet.jsonl;outline/writer_context_packs.jsonl;outline/evidence_drafts.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib;DECISIONS.md,sections/sections_manifest.jsonl;sections/h3_bodies.refined.ok,为每个H3写 `sections/S<sub_id>.md`（body-only，无 heading；满足写作合同：thesis early + concrete A-vs-B contrasts + protocol-aware evaluation anchor + cross-paper synthesis + limitation；顺序可变，禁止固定段落宏），写完后创建 marker `sections/h3_bodies.refined.ok`（空文件即可）作为完成信号；然后 rerun 本 unit 生成更新后的 sections_manifest.jsonl,C5,TODO,U0995;U099;U076,CODEX
U1005,Writer self-loop (sections quality gate + actionable TODO),QA,writer-selfloop,sections/sections_manifest.jsonl;outline/subsection_briefs.jsonl;outline/chapter_briefs.jsonl;outline/writer_context_packs.jsonl;outline/evidence_bindings.jsonl;citations/ref.bib;queries.md,output/WRITER_SELFLOOP_TODO.md,WRITER_SELFLOOP_TODO.md Status: PASS；只修失败的 sections/*.md；满足 draft_profile 的小节深度/引用密度/论证骨架；引用范围符合 evidence_bindings；无旁白模板/无占位符,C5,TODO,U095;U096;U100,CODEX
U1006,Style harmonizer (de-slot openers; keep citations fixed),QA,style-harmonizer,output/WRITER_SELFLOOP_TODO.md;sections/;outline/writer_context_packs.jsonl;citations/ref.bib,sections/style_harmonized.refined.ok,若 WRITER_SELFLOOP_TODO.md 有 Style Smells，则必须完成去口癖/去模板化改写（含开头句型去模板）；仅允许改写被点名的 sections/*.md，禁止新增事实与 citation keys；完成后创建 marker `sections/style_harmonized.refined.ok`。,C5,TODO,U1026,CODEX
U1007,Opener variator (de-template H3 openers; keep citations fixed),QA,opener-variator,output/WRITER_SELFLOOP_TODO.md;sections/;outline/writer_context_packs.jsonl;citations/ref.bib,sections/opener_varied.refined.ok,按 WRITER_SELFLOOP_TODO.md 中 Style Smells 点名文件完成开头去模板化（禁用“This subsection.../In this subsection.../overview narration”）；不得新增事实或改 citation keys；创建 marker `sections/opener_varied.refined.ok`。,C5,TODO,U1006,CODEX
U102,Logic polish H3 sections (thesis + connectors),QA,section-logic-polisher,sections/;outline/subsection_briefs.jsonl;outline/writer_context_packs.jsonl;queries.md,output/SECTION_LOGIC_REPORT.md,"SECTION_LOGIC_REPORT.md 为 PASS；每个 H3 第一段含 thesis/takeaway（结论先行；对齐 briefs thesis；避免 """"This subsection ..."""" 旁白模板句）；逻辑关系要清晰但不靠句首连接词堆叠（鼓励 subject-first + mid-sentence glue；连接词统计仅作提示，不作为硬阈值 gate）；不新增/不修改 citation keys；无占位符",C5,TODO,U1005,CODEX
U1025,Argument self-loop (ledger + premise drift gate),QA,argument-selfloop,sections/;outline/outline.yml;output/WRITER_SELFLOOP_TODO.md;citations/ref.bib;queries.md,output/ARGUMENT_SELFLOOP_TODO.md;output/SECTION_ARGUMENT_SUMMARIES.jsonl;output/ARGUMENT_SKELETON.md,ARGUMENT_SELFLOOP_TODO.md Status: PASS；SECTION_ARGUMENT_SUMMARIES.jsonl 覆盖所有 H3（每段 moves 非空且包含 canonical move token）；ARGUMENT_SKELETON.md 包含 `## Consistency Contract`（单一真源：术语/任务与评测口径/比较对象命名等）+ 明确章节依赖与最易漂移 watchlist；不改 citation keys；ledger 属于中间态，禁止进入终稿,C5,TODO,U102,CODEX
U1026,Paragraph curator (select->evaluate->subset->fuse; converge without adding cites),QA,paragraph-curator,output/ARGUMENT_SKELETON.md;output/SECTION_ARGUMENT_SUMMARIES.jsonl;output/SECTION_LOGIC_REPORT.md;output/WRITER_SELFLOOP_TODO.md;sections/;outline/writer_context_packs.jsonl;queries.md;citations/ref.bib,output/PARAGRAPH_CURATION_REPORT.md;sections/paragraphs_curated.refined.ok,PARAGRAPH_CURATION_REPORT.md Status: PASS；每个H3按 draft_profile 收敛到段落预算（survey:10-12 / deep:11-13）且覆盖 must-have moves；对发生改写的段落执行多候选择优（每处>=2候选；择优或融合；在 report 中记录候选次数）；仅做 fuse/rewrite/replace（不发明事实）；不新增/不删除/不跨小节移动 citation keys；创建 marker `sections/paragraphs_curated.refined.ok`。,C5,TODO,U1025,CODEX
U098,Weave transitions (no new facts) [NO PROSE],STRUCTURE,transition-weaver,outline/outline.yml;outline/subsection_briefs.jsonl,outline/transitions.md,transitions.md 生成可读过渡句（无新事实/无引用）；无占位/无省略号,C5,TODO,U1007,CODEX
U101,Merge section files into a single draft,WRITE,section-merger,GOAL.md;outline/outline.yml;outline/transitions.md;sections/sections_manifest.jsonl;outline/tables_appendix.md,output/DRAFT.md;output/MERGE_REPORT.md,DRAFT.md 由 sections+transitions+Appendix tables 组装完成（tables 默认作为 Appendix 插入；索引表不进入终稿）；MERGE_REPORT.md 为 PASS（无缺失小节文件/表格）,C5,TODO,U100;U098;U0927,CODEX
U103,Post-merge voice gate (transitions injection),QA,post-merge-voice-gate,output/DRAFT.md;outline/transitions.md,output/POST_MERGE_VOICE_REPORT.md,POST_MERGE_VOICE_REPORT.md Status: PASS；若 FAIL 则按报告路由回 transition-weaver 或 writer-selfloop 修复后再 merge,C5,TODO,U101,CODEX
U104,"Citation budget report (boost unique cites, NO NEW FACTS)",QA,citation-diversifier,output/DRAFT.md;outline/outline.yml;outline/writer_context_packs.jsonl;citations/ref.bib,output/CITATION_BUDGET_REPORT.md,生成每个H3的 in-scope citation budget（优先未被全局使用的 bibkeys），写入 output/CITATION_BUDGET_REPORT.md；不修改内容；不引入新引用key,C5,TODO,U103,CODEX
U1045,Inject in-scope citations from budget (NO NEW FACTS),WRITE,citation-injector,output/DRAFT.md;output/CITATION_BUDGET_REPORT.md;outline/outline.yml;citations/ref.bib,output/DRAFT.md;output/CITATION_INJECTION_REPORT.md,"如果 budget report Gap=0 则 no-op 且 PASS；否则按每个H3建议 keys 注入 1 段短句（每个 key 单独嵌入引用：X [@a], Y [@b]…；禁止单个段尾 [@a; @b; @c] dump）；不得引入新事实/数字；注入后 global unique citations 达到 budget report 的 target（policy；A150++ 默认 recommended）；写 output/CITATION_INJECTION_REPORT.md (Status: PASS)",C5,TODO,U104,CODEX
U105,Polish draft (de-template + coherence),WRITE,draft-polisher,output/DRAFT.md,output/DRAFT.md,去除套话/ellipsis/模板句；保持引用不变；并完成引用形态规范化：禁止连续引用块（如 [@a] [@b]）、禁止同块重复 key（如 [@a; @a]），每个 H3 保持句中引用比例>=30%；通过 draft 质量门槛（strict gate）,C5,TODO,U1045,CODEX
U108,Global consistency review (terminology + RQ closure),QA,global-reviewer,output/DRAFT.md,output/GLOBAL_REVIEW.md;output/DRAFT.md,GLOBAL_REVIEW.md 完整（Status: PASS）且 draft 通过质量门槛；术语一致、结论回扣主线,C5,TODO,U105,CODEX
U109,Audit + regression checks (PASS/FAIL),QA,pipeline-auditor,output/DRAFT.md;outline/outline.yml;outline/evidence_bindings.jsonl;citations/ref.bib,output/AUDIT_REPORT.md,AUDIT_REPORT.md 状态为 PASS；无省略号/占位符；引用key健康（无缺失/重复）；通过去模板化硬门（无旁白开头/无导航口癖超阈值）与引用形态硬门（无连续引用块、H3 句中引用比例>=30%）,C5,TODO,U108,CODEX
U110,Scaffold LaTeX project (main.tex),LATEX,latex-scaffold,output/DRAFT.md;citations/ref.bib,latex/main.tex,latex/main.tex 存在且引用 citations/ref.bib；应无 markdown 残留（如 **、[@...]、##）,C5,TODO,U109,CODEX
U120,Compile LaTeX to PDF + build report,LATEX,latex-compile-qa,latex/main.tex;citations/ref.bib,latex/main.pdf;output/LATEX_BUILD_REPORT.md,main.pdf 编译成功且可读（无未定义引用/引用key）；PDF 页数 >= 8；build report 记录页数与 warnings 摘要,C5,TODO,U110,CODEX
U130,Contract audit (artifact contract + target_artifacts),QA,artifact-contract-auditor,UNITS.csv;PIPELINE.lock.md,output/CONTRACT_REPORT.md,CONTRACT_REPORT.md 状态为 PASS（且无 DONE 输出缺失；target_artifacts 缺失=0）,C5,TODO,U120,CODEX
